PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
31955299,"In addition to behavioral therapy, oral medications such as alpha agonists, dopamine depletors, anti-psychotics, and topiramate are used to control the involuntary movements and noises.",topiramate,CHEMICAL,control,involuntary movements,DISEASE
31955299,"In addition to behavioral therapy, oral medications such as alpha agonists, dopamine depletors, anti-psychotics, and topiramate are used to control the involuntary movements and noises.",alpha agonists,NUTRITION,control,involuntary movements,DISEASE
31955299,"In addition to behavioral therapy, oral medications such as alpha agonists, dopamine depletors, anti-psychotics, and topiramate are used to control the involuntary movements and noises.",dopamine depletors,CHEMICAL,control,involuntary movements,DISEASE
19341286,"Such morphology was attributed to be the result of significant structural disorder in the carbon skeleton, which originates during the strong oxidation that leads to graphene oxide and remains after chemical reduction.",significant disorder,DISEASE,have the result in,carbon skeleton,CHEMICAL
34948196,"Although guanethidine (GUA) was used in the past as a drug to suppress hyperactivity of the sympathetic nerve fibers, there are no available data concerning the possible action of this substance on the sensory component of the peripheral nervous system supplying the urinary bladder.",guanethidine,CHEMICAL,suppress,hyperactivity,MENTAL_HEALTH
24868013,"In this study, the effects of butoxamine (BUT), a specific β2-AR antagonist, on tooth movement were examined in spontaneously hypertensive rats (SHR) showing osteoporosis with hyperactivity of the sympathetic nervous system.",hypertensive rats,DISEASE,show osteoporosis with,hyperactivity,MENTAL_HEALTH
24868013,"In this study, the effects of butoxamine (BUT), a specific β2-AR antagonist, on tooth movement were examined in spontaneously hypertensive rats (SHR) showing osteoporosis with hyperactivity of the sympathetic nervous system.",hypertensive rats,DISEASE,show,osteoporosis,DISEASE
17646510,"Further, adenosine improves postoperative recovery, as indicated by lower pain scores and less opioid consumption.",adenosine,CHEMICAL,indicate by,lower pain scores,DISEASE
17825695,A search of the current literature found no studies examining the efficacy of intravenous tramadol on migraine pain.,intravenous tramadol,CHEMICAL,have the efficacy on,migraine pain,DISEASE
16103274,"Higher daily doses of acetaminophen and nonsteroidal anti-inflammatory drugs independently increase the risk of hypertension in women. Because acetaminophen and nonsteroidal anti-inflammatory drugs are commonly used, they may contribute to the high prevalence of hypertension in the United States.",acetaminophen,CHEMICAL,increase risk of,hypertension,DISEASE
1938802,"Imipramine also improved the boy's insomnia and enuresis, whereas methylphenidate caused an overall worsening of his condition.",Imipramine,CHEMICAL,improve boy's,enuresis,MENTAL_HEALTH
7542489,"Because the metabolism of L-tryptophan through the kynurenine pathway is dependent upon adequate nutrition, we sought to determine whether the impaired nutrition characteristic of eating-disordered patients might be associated with specific disturbances in this metabolic pathway.",kynurenine pathway,CHEMICAL,have the metabolism of,L-tryptophan,CHEMICAL
7542489,"Furthermore, in the eating-disordered patients, kynurenic acid levels in cerebrospinal fluid correlated positively with percent-of-population average body weight.(ABSTRACT TRUNCATED AT 250 WORDS)",kynurenic acid levels,CHEMICAL,correlate in,eating-disordered patients,DISEASE
12620609,"The local, peripheral administration of antidepressants and excitatory amino acid receptor antagonists can cause analgesia in a number of conditions.",excitatory amino acid receptor antagonists,CHEMICAL,cause,analgesia,MENTAL_HEALTH
12620609,"Combination of an inactive dose of dextromethorphan with amitriptyline, and vice versa, resulted in an increase of analgesia so that previously inactive doses now caused significant analgesia.",dextromethorphan,CHEMICAL,result in increase of,analgesia,MENTAL_HEALTH
12620609,"Combination of an inactive dose of dextromethorphan with amitriptyline, and vice versa, resulted in an increase of analgesia so that previously inactive doses now caused significant analgesia.",amitriptyline,CHEMICAL,result in increase of,analgesia,MENTAL_HEALTH
12620609,"Combination of an inactive dose of dextromethorphan with amitriptyline, and vice versa, resulted in an increase of analgesia so that previously inactive doses now caused significant analgesia.",dextromethorphan,CHEMICAL,have an inactive dose with,amitriptyline,CHEMICAL
12620609,"In the absence of formalin, amitriptyline (1-100 nmol) caused a dose-related suppression of the paw edema produced by dextromethorphan and ketamine.",amitriptyline,CHEMICAL,cause in absence of formalin dose-related suppression of,paw edema,DISEASE
12620609,"Increased analgesia by drug combinations (amitriptyline/dextromethorphan) could show the involvement of a number of these mechanisms (e.g. NMDA receptor blockade, blockage of sodium channels, blockage of biogenic amine receptors), while a lack of intensification (amitriptyline/ketamine) could reflect occluded actions due to expression of similar actions by the other drug.",drug combinations,BIOCHEMICAL,show involvement of number of,biogenic amine receptors,CHEMICAL
12620609,"Increased analgesia by drug combinations (amitriptyline/dextromethorphan) could show the involvement of a number of these mechanisms (e.g. NMDA receptor blockade, blockage of sodium channels, blockage of biogenic amine receptors), while a lack of intensification (amitriptyline/ketamine) could reflect occluded actions due to expression of similar actions by the other drug.",drug combinations,BIOCHEMICAL,show involvement of number of,sodium channels,CHEMICAL
12620609,"Increased analgesia by drug combinations (amitriptyline/dextromethorphan) could show the involvement of a number of these mechanisms (e.g. NMDA receptor blockade, blockage of sodium channels, blockage of biogenic amine receptors), while a lack of intensification (amitriptyline/ketamine) could reflect occluded actions due to expression of similar actions by the other drug.",drug combinations,BIOCHEMICAL,show involvement of number of,NMDA receptor blockade,CHEMICAL
12620609,"Increased analgesia by drug combinations (amitriptyline/dextromethorphan) could show the involvement of a number of these mechanisms (e.g. NMDA receptor blockade, blockage of sodium channels, blockage of biogenic amine receptors), while a lack of intensification (amitriptyline/ketamine) could reflect occluded actions due to expression of similar actions by the other drug.",Increased analgesia,MENTAL_HEALTH,show involvement of number of,biogenic amine receptors,CHEMICAL
12620609,"Increased analgesia by drug combinations (amitriptyline/dextromethorphan) could show the involvement of a number of these mechanisms (e.g. NMDA receptor blockade, blockage of sodium channels, blockage of biogenic amine receptors), while a lack of intensification (amitriptyline/ketamine) could reflect occluded actions due to expression of similar actions by the other drug.",Increased analgesia,MENTAL_HEALTH,show involvement of number of,sodium channels,CHEMICAL
12620609,"Increased analgesia by drug combinations (amitriptyline/dextromethorphan) could show the involvement of a number of these mechanisms (e.g. NMDA receptor blockade, blockage of sodium channels, blockage of biogenic amine receptors), while a lack of intensification (amitriptyline/ketamine) could reflect occluded actions due to expression of similar actions by the other drug.",Increased analgesia,MENTAL_HEALTH,show involvement of number of,NMDA receptor blockade,CHEMICAL
12620609,"Paw edema induced by dextromethorphan and ketamine involves inhibition of biogenic amine reuptake, and the ability of amitriptyline to block biogenic amine receptors likely accounts for its inhibiton of these actions.",amitriptyline,CHEMICAL,have the ability to,biogenic amine receptors,CHEMICAL
12406529,"The interaction between electroacupuncture and an N-methyl-D-aspartic acid (NMDA) receptor antagonist, (DL-2-amino-5-phosphonopentanoic acid; AP5), or an (+/-)-alpha-Amino-3-hydroxy-5-methylisoxazole-4-propionic acid/kainite (AMPA/KA) receptor antagonist, (6,7-dinitroquinoxaline-2,3 (1H,4H); DNQX) administered intrathecally on carrageenan-induced thermal hyperalgesia and spinal c-Fos expression was investigated.",N-methyl-D-aspartic acid NMDA receptor antagonist,CHEMICAL,carrageenan-induced,thermal hyperalgesia,DISEASE
12406529,"The interaction between electroacupuncture and an N-methyl-D-aspartic acid (NMDA) receptor antagonist, (DL-2-amino-5-phosphonopentanoic acid; AP5), or an (+/-)-alpha-Amino-3-hydroxy-5-methylisoxazole-4-propionic acid/kainite (AMPA/KA) receptor antagonist, (6,7-dinitroquinoxaline-2,3 (1H,4H); DNQX) administered intrathecally on carrageenan-induced thermal hyperalgesia and spinal c-Fos expression was investigated.",DNQX,CHEMICAL,carrageenan-induced,thermal hyperalgesia,DISEASE
12406529,"The interaction between electroacupuncture and an N-methyl-D-aspartic acid (NMDA) receptor antagonist, (DL-2-amino-5-phosphonopentanoic acid; AP5), or an (+/-)-alpha-Amino-3-hydroxy-5-methylisoxazole-4-propionic acid/kainite (AMPA/KA) receptor antagonist, (6,7-dinitroquinoxaline-2,3 (1H,4H); DNQX) administered intrathecally on carrageenan-induced thermal hyperalgesia and spinal c-Fos expression was investigated.",electroacupuncture DL-2-amino-5-phosphonopentanoic acid,CHEMICAL,carrageenan-induced,thermal hyperalgesia,DISEASE
12406529,"Intrathecal (i.t.) injection of 1 and 10 nmol AP5, but not DNQX, markedly increased the PWL of the carrageenan-injected paw.",nmol AP5,CHEMICAL,increase pwl of,carrageenan-injected paw,DISEASE
12406529,"Unilateral electroacupuncture stimulation of the 'Zu-San-Li' (St 36) and 'Kun-Lun' (UB 60) acupuncture points (60 and 2 Hz alternately, 1-2-3 mA) contralateral to the carrageenan-injected paw significantly elevated the PWLs of carrageenan- and NS-injected paws.",Unilateral electroacupuncture stimulation,CHEMICAL,elevate pwls of,NS-injected,DISEASE
7770609,"Experiments 4 and 5 investigated whether the potency of MK-801, (+)HA-966 or (-)HA-966 in blocking NMDA-induced convulsions paralleled their potency in producing amnesia.",MK-801,CHEMICAL,produce,amnesia,MENTAL_HEALTH
7770609,"Experiments 4 and 5 investigated whether the potency of MK-801, (+)HA-966 or (-)HA-966 in blocking NMDA-induced convulsions paralleled their potency in producing amnesia.",MK-801,CHEMICAL,block,NMDA-induced convulsions,DISEASE
7770609,"The anticonvulsant potency of MK-801, (+)HA-966, and (-)HA-966 paralleled their amnestic potency.",MK-801,CHEMICAL,parallel,amnestic potency,DISEASE
22215207,The cholinergic theory of depression highlights the involvement of muscarinic acetylcholine receptors in the neurobiology of mood disorders.,depression,MENTAL_HEALTH,highlight involvement of muscarinic acetylcholine receptors in neurobiology of,mood disorders,MENTAL_HEALTH
22215207,The cholinergic theory of depression highlights the involvement of muscarinic acetylcholine receptors in the neurobiology of mood disorders.,depression,MENTAL_HEALTH,highlight involvement of,muscarinic acetylcholine receptors,CHEMICAL
35462197,K deficiency induced hydrogen peroxide (H2O2) and malondialdehyde (MDA) concentration in plants.,K deficiency,DISEASE,induce,H2O2,CHEMICAL
35462197,K deficiency induced hydrogen peroxide (H2O2) and malondialdehyde (MDA) concentration in plants.,K deficiency,DISEASE,induce,malondialdehyde concentration,CHEMICAL
35462197,K deficiency induced hydrogen peroxide (H2O2) and malondialdehyde (MDA) concentration in plants.,K deficiency,DISEASE,induce,MDA,CHEMICAL
32660299,"The authors sought to determine whether adjunctive low-dose transdermal testosterone improves depression symptom severity, fatigue, and sexual function in women with antidepressant-resistant major depression.",adjunctive low-dose transdermal testosterone,CHEMICAL,improve,fatigue,MENTAL_HEALTH
32660299,"The authors sought to determine whether adjunctive low-dose transdermal testosterone improves depression symptom severity, fatigue, and sexual function in women with antidepressant-resistant major depression.",adjunctive low-dose transdermal testosterone,CHEMICAL,improve,antidepressant-resistant major depression,MENTAL_HEALTH
32660299,"The authors sought to determine whether adjunctive low-dose transdermal testosterone improves depression symptom severity, fatigue, and sexual function in women with antidepressant-resistant major depression.",adjunctive low-dose transdermal testosterone,CHEMICAL,improve,depression symptom severity,MENTAL_HEALTH
